subgroup,date,approval,disapproval
Adults,14.04.2020,43.764737,50.748517
Voters,13.04.2020,44.732763,51.747912
Adults,13.04.2020,43.65151,50.741525
Adults,12.04.2020,43.737121,50.141861
Voters,12.04.2020,44.941647,51.472969
Adults,11.04.2020,43.753236,50.112176
Voters,11.04.2020,45.002785,51.426613
Voters,10.04.2020,44.938443,51.52164
Adults,10.04.2020,43.746099,50.114895
Adults,09.04.2020,43.731399,49.90412
Voters,09.04.2020,45.358204,51.098136
Voters,08.04.2020,45.186756,51.312115
Adults,08.04.2020,43.928068,49.688209
Adults,07.04.2020,45.098854,49.136128
Voters,07.04.2020,45.51366,51.073382
Adults,06.04.2020,45.098854,49.136128
Voters,06.04.2020,45.482457,51.026615
Voters,05.04.2020,45.621096,50.911909
Adults,05.04.2020,45.945921,49.325406
Adults,04.04.2020,46.012938,49.088854
Voters,04.04.2020,45.701958,50.797167
Adults,03.04.2020,46.012938,49.088854
Voters,03.04.2020,45.777346,50.77266
Voters,02.04.2020,46.014258,50.636093
Adults,02.04.2020,45.585115,49.406728
Voters,01.04.2020,46.334424,50.251812
Adults,01.04.2020,45.816386,49.103169
Adults,31.03.2020,45.555048,49.565887
Voters,31.03.2020,45.908538,50.54636
Voters,30.03.2020,45.855167,50.533752
Adults,30.03.2020,45.668993,49.322072
Adults,29.03.2020,46.006565,49.016739
Voters,29.03.2020,46.196054,50.245697
Voters,28.03.2020,46.260866,50.176574
Adults,28.03.2020,46.098665,48.888298
Adults,27.03.2020,46.098665,48.888298
Voters,27.03.2020,46.242087,50.181704
Adults,26.03.2020,45.272299,50.288112
Voters,26.03.2020,45.500942,50.890813
Voters,25.03.2020,45.042247,50.735027
Adults,25.03.2020,44.688531,51.064189
Adults,24.03.2020,44.613072,51.045832
Voters,24.03.2020,44.969927,50.739752
Voters,23.03.2020,44.286483,51.395058
Adults,23.03.2020,43.500766,52.271777
Adults,22.03.2020,42.521573,53.357601
Voters,22.03.2020,43.338067,52.074268
Adults,21.03.2020,42.521573,53.357601
Voters,21.03.2020,43.338067,52.074268
Voters,20.03.2020,43.338067,52.074268
Adults,20.03.2020,42.521573,53.357601
Voters,19.03.2020,43.942604,52.093956
Adults,19.03.2020,43.707569,52.129788
Voters,18.03.2020,43.723324,52.180998
Adults,18.03.2020,42.283724,52.827204
Voters,17.03.2020,43.849942,52.093898
Adults,17.03.2020,42.197986,52.755507
Adults,16.03.2020,41.669307,53.476684
Voters,16.03.2020,43.855668,52.44601
Voters,15.03.2020,43.699202,52.350399
Adults,15.03.2020,41.706265,53.407293
Adults,14.03.2020,41.706265,53.407293
Voters,14.03.2020,43.348265,52.652942
Adults,13.03.2020,41.706265,53.407293
Voters,13.03.2020,43.348265,52.652942
Adults,12.03.2020,41.851013,53.233543
Voters,12.03.2020,43.264426,52.706389
Voters,11.03.2020,43.243008,52.786369
Adults,11.03.2020,41.873565,53.246121
Voters,10.03.2020,43.615096,52.728709
Adults,10.03.2020,42.103436,53.180746
Adults,09.03.2020,42.164667,53.136179
Voters,09.03.2020,43.648825,52.740924
Voters,08.03.2020,43.325293,53.030179
Adults,08.03.2020,41.915659,53.164789
Voters,07.03.2020,43.325293,53.030179
Adults,07.03.2020,41.915659,53.164789
Voters,06.03.2020,43.325293,53.030179
Adults,06.03.2020,41.915659,53.164789
Adults,05.03.2020,41.950918,53.138018
Voters,05.03.2020,43.439084,52.878107
Adults,04.03.2020,41.869315,53.042271
Voters,04.03.2020,43.830943,52.462662
Voters,03.03.2020,43.757786,52.716857
Adults,03.03.2020,41.90245,53.296993
Voters,02.03.2020,43.730251,52.792261
Adults,02.03.2020,41.470269,53.507357
Voters,01.03.2020,44.032557,52.464612
Adults,01.03.2020,41.424187,53.557556
Adults,29.02.2020,41.424187,53.557556
Voters,29.02.2020,44.032557,52.464612
Adults,28.02.2020,41.526025,53.488407
Voters,28.02.2020,44.17519,52.292412
Voters,27.02.2020,44.094298,51.985257
Adults,27.02.2020,41.526025,53.488407
Voters,26.02.2020,44.015076,52.071253
Adults,26.02.2020,41.526025,53.488407
Voters,25.02.2020,44.219495,51.813526
Adults,25.02.2020,41.436174,53.655948
Adults,24.02.2020,41.621152,53.405953
Voters,24.02.2020,44.033721,52.019836
Voters,23.02.2020,44.09074,51.927147
Adults,23.02.2020,41.621266,53.405936
Adults,22.02.2020,41.621266,53.405936
Voters,22.02.2020,44.09074,51.927147
Voters,21.02.2020,44.09074,51.927147
Adults,21.02.2020,41.621266,53.405936
Voters,20.02.2020,45.210504,50.713952
Adults,20.02.2020,42.453035,52.483543
Adults,19.02.2020,42.397958,52.329106
Voters,19.02.2020,45.79354,50.131318
Adults,18.02.2020,42.353427,52.498854
Voters,18.02.2020,45.648356,50.012939
Voters,17.02.2020,44.682075,51.658793
Adults,17.02.2020,42.353427,52.498854
Voters,16.02.2020,44.050822,52.114048
Adults,16.02.2020,42.316982,52.473988
Adults,15.02.2020,42.316982,52.473988
Voters,15.02.2020,43.980874,52.153646
Adults,14.02.2020,42.316982,52.473988
Voters,14.02.2020,43.980874,52.153646
Adults,13.02.2020,42.316982,52.473988
Voters,13.02.2020,44.016157,52.204223
Voters,12.02.2020,44.320303,51.789249
Adults,12.02.2020,42.316982,52.473988
Voters,11.02.2020,44.241162,51.938022
Adults,11.02.2020,42.569932,52.389968
Voters,10.02.2020,44.475435,51.739699
Adults,10.02.2020,42.738857,52.258416
Voters,09.02.2020,44.315428,51.771871
Adults,09.02.2020,42.908631,52.066139
Adults,08.02.2020,42.908631,52.066139
Voters,08.02.2020,44.315428,51.771871
Voters,07.02.2020,44.315394,51.772042
Adults,07.02.2020,42.908619,52.06628
Adults,06.02.2020,42.999762,51.983416
Voters,06.02.2020,44.143581,52.065025
Voters,05.02.2020,43.785319,52.297462
Adults,05.02.2020,42.521909,52.336885
Adults,04.02.2020,42.562989,52.257319
Voters,04.02.2020,44.067537,52.228955
Adults,03.02.2020,42.180371,52.525175
Voters,03.02.2020,44.076662,52.194396
Voters,02.02.2020,44.322535,51.896759
Adults,02.02.2020,42.378287,52.30828
Adults,01.02.2020,42.378287,52.30828
Voters,01.02.2020,44.233143,52.02111
Adults,31.01.2020,42.378287,52.30828
Voters,31.01.2020,44.343219,51.875146
Voters,30.01.2020,44.26148,51.964505
Adults,30.01.2020,41.221578,53.762664
Voters,29.01.2020,44.330772,51.885109
Adults,29.01.2020,41.365332,53.442971
Adults,28.01.2020,41.620321,53.447527
Voters,28.01.2020,44.760909,51.559897
Voters,27.01.2020,44.87548,51.692546
Adults,27.01.2020,41.599768,53.470903
Adults,26.01.2020,41.860138,53.263666
Voters,26.01.2020,44.825867,51.755869
Voters,25.01.2020,44.827291,51.485976
Adults,25.01.2020,41.824998,53.240979
Adults,24.01.2020,41.824998,53.240979
Voters,24.01.2020,44.827291,51.485976
Adults,23.01.2020,41.050393,54.390733
Voters,23.01.2020,43.952599,52.281616
Voters,22.01.2020,42.908049,53.233921
Adults,22.01.2020,41.008391,54.43823
Adults,21.01.2020,41.171095,54.15958
Voters,21.01.2020,42.893962,53.216538
Voters,20.01.2020,43.86012,52.139452
Adults,20.01.2020,41.591385,53.454896
Adults,19.01.2020,40.825079,53.895235
Voters,19.01.2020,43.459467,52.611509
Adults,18.01.2020,40.825079,53.895235
Voters,18.01.2020,43.459467,52.611509
Voters,17.01.2020,43.459467,52.611509
Adults,17.01.2020,40.825079,53.895235
Voters,16.01.2020,43.60321,52.372832
Adults,16.01.2020,40.850083,53.846841
Voters,15.01.2020,43.199324,52.646051
Adults,15.01.2020,40.882533,53.823655
Voters,14.01.2020,43.465981,52.381235
Adults,14.01.2020,41.013822,53.657616
Adults,13.01.2020,41.034345,53.614264
Voters,13.01.2020,43.423036,52.363178
Voters,12.01.2020,42.874007,53.024374
Adults,12.01.2020,40.571997,54.203202
Adults,11.01.2020,40.571997,54.203202
Voters,11.01.2020,42.874007,53.024374
Adults,10.01.2020,40.571997,54.203202
Voters,10.01.2020,42.874007,53.024374
Adults,09.01.2020,40.669623,54.091122
Voters,09.01.2020,42.830361,53.062583
Voters,08.01.2020,42.731808,53.184104
Adults,08.01.2020,40.718772,54.024778
Voters,07.01.2020,42.948346,53.066605
Adults,07.01.2020,40.752624,53.972635
Adults,06.01.2020,41.166023,53.827337
Voters,06.01.2020,43.461466,52.580852
Voters,05.01.2020,43.630267,52.48222
Adults,05.01.2020,41.151553,53.735925
Voters,04.01.2020,43.630267,52.48222
Adults,04.01.2020,41.151553,53.735925
Voters,03.01.2020,43.630267,52.48222
Adults,03.01.2020,41.151553,53.735925
Adults,02.01.2020,41.143823,53.753895
Voters,02.01.2020,43.439696,52.745274
Adults,01.01.2020,41.501866,53.287316
Voters,01.01.2020,43.439696,52.745274
Voters,31.12.2019,43.433428,52.754957
Adults,31.12.2019,41.502059,53.331658
Voters,30.12.2019,43.295235,52.850635
Adults,30.12.2019,41.532126,53.309184
Voters,29.12.2019,43.334989,52.791836
Adults,29.12.2019,41.529158,53.254199
Adults,28.12.2019,41.529158,53.254199
Voters,28.12.2019,43.342017,52.785872
Adults,27.12.2019,41.529158,53.254199
Voters,27.12.2019,43.342017,52.785872
Voters,26.12.2019,43.464971,52.704941
Adults,26.12.2019,41.529158,53.254199
Voters,25.12.2019,43.460102,52.69767
Adults,25.12.2019,41.529158,53.254199
Voters,24.12.2019,43.505776,52.677392
Adults,24.12.2019,41.562748,53.21824
Adults,23.12.2019,41.562748,53.21824
Voters,23.12.2019,43.481986,52.719654
Voters,22.12.2019,44.393803,51.817597
Adults,22.12.2019,42.154385,52.533356
Adults,21.12.2019,42.154385,52.533356
Voters,21.12.2019,44.393803,51.817597
Voters,20.12.2019,44.393803,51.817597
Adults,20.12.2019,42.154385,52.533356
Voters,19.12.2019,44.591513,51.638629
Adults,19.12.2019,42.171758,52.462082
Adults,18.12.2019,42.167197,52.623452
Voters,18.12.2019,44.589122,51.686727
Adults,17.12.2019,42.30916,52.799462
Voters,17.12.2019,44.845494,51.48896
Voters,16.12.2019,44.436099,51.862087
Adults,16.12.2019,41.621896,53.228121
Adults,15.12.2019,40.528909,53.867039
Voters,15.12.2019,44.128887,52.228644
Voters,14.12.2019,43.054161,52.653766
Adults,14.12.2019,40.528909,53.867039
Adults,13.12.2019,40.54998,53.836946
Voters,13.12.2019,43.093035,52.650159
Adults,12.12.2019,40.544206,53.83368
Voters,12.12.2019,43.089496,52.636876
Voters,11.12.2019,43.134108,52.424121
Adults,11.12.2019,40.542021,53.856836
Voters,10.12.2019,43.40313,52.392756
Adults,10.12.2019,40.009531,54.732548
Voters,09.12.2019,43.288615,52.288382
Adults,09.12.2019,39.972315,54.69142
Voters,08.12.2019,43.098758,52.473208
Adults,08.12.2019,40.060856,54.59712
Adults,07.12.2019,40.060856,54.59712
Voters,07.12.2019,43.098758,52.473208
Voters,06.12.2019,43.098758,52.473208
Adults,06.12.2019,40.060856,54.59712
Adults,05.12.2019,40.074008,54.565128
Voters,05.12.2019,43.126379,52.4413
Voters,04.12.2019,42.877311,52.700177
Adults,04.12.2019,40.192389,54.496548
Adults,03.12.2019,40.244571,54.627215
Voters,03.12.2019,42.754576,52.896839
Adults,02.12.2019,40.295641,54.503279
Voters,02.12.2019,42.606101,53.144127
Voters,01.12.2019,42.688961,52.948363
Adults,01.12.2019,40.400857,54.428965
Adults,30.11.2019,40.400857,54.428965
Voters,30.11.2019,42.688961,52.948363
Voters,29.11.2019,42.68882,52.948572
Adults,29.11.2019,40.401472,54.428485
Adults,28.11.2019,40.408849,54.595
Voters,28.11.2019,42.68882,52.948572
Voters,27.11.2019,42.68882,52.948572
Adults,27.11.2019,40.408849,54.595
Adults,26.11.2019,40.416361,54.693738
Voters,26.11.2019,42.613189,53.079696
Voters,25.11.2019,42.79208,53.320564
Adults,25.11.2019,40.214607,54.758157
Voters,24.11.2019,43.032958,53.099428
Adults,24.11.2019,40.22211,54.750549
Adults,23.11.2019,40.22211,54.750549
Voters,23.11.2019,43.032958,53.099428
Adults,22.11.2019,40.22211,54.750549
Voters,22.11.2019,43.032958,53.099428
Adults,21.11.2019,40.083582,54.852014
Voters,21.11.2019,43.036843,53.14239
Voters,20.11.2019,42.566135,53.521917
Adults,20.11.2019,40.502583,54.266835
Adults,19.11.2019,40.568658,54.062424
Voters,19.11.2019,42.631384,53.590235
Voters,18.11.2019,42.14946,54.154347
Adults,18.11.2019,40.436648,54.631685
Adults,17.11.2019,40.384323,54.633742
Voters,17.11.2019,42.166843,54.192609
Adults,16.11.2019,40.384323,54.633742
Voters,16.11.2019,42.166843,54.192609
Voters,15.11.2019,42.166843,54.192609
Adults,15.11.2019,40.384323,54.633742
Voters,14.11.2019,42.158859,54.268196
Adults,14.11.2019,40.273318,54.84848
Voters,13.11.2019,41.921124,54.464671
Adults,13.11.2019,40.31404,54.812785
Voters,12.11.2019,42.00399,54.314966
Adults,12.11.2019,40.720077,54.501473
Adults,11.11.2019,40.888467,54.354874
Voters,11.11.2019,42.422535,53.942433
Voters,10.11.2019,42.345681,54.145162
Adults,10.11.2019,40.888467,54.354874
Adults,09.11.2019,40.888462,54.356111
Voters,09.11.2019,42.345681,54.145162
Adults,08.11.2019,40.888462,54.356111
